LOJA DE BEBIDAS                                                                                                                                          16/05/2023 10:55
------------------------------------------------------------------------------------------------------------------------------------------------------------------------

                                                                         ESTOQUE E LUCRO BRUTO
                                                                      Empresa: 1 - LOJA DE BEBIDAS
                                                                    Período: 08/05/2023 a 16/05/2023
                                                                            Modo: ANALÍTICO
                                                                       Lucro base: VALOR DO CUSTO
                                                                        Tipo custo: ÚLTIMO CUSTO
                                                                     Exibir: APENAS PRODUTOS ATIVOS


                                                                           VENDA DE PRODUTOS

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Grupo produto: 2 - BEBIDAS NAO ALCOOLICAS                                                                                                                                      |
+-------------------------------------------------+------------+---------+------------+------------+---------+------------+-------------+----------+-------------+---------------+
|                Produto                          | Qt. compra |   Unit. | Vl. compra |  Qt. venda |   Unit. | Vl. venda. |    Lucro    |  % Lucro | Qt. estoque |  Vl. estoque  |
| 952232 - CERVEJA EISENBAHN PILSEN 473ML         |       0,00 |   3,990 |       0,00 |       0,00 |   6,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 952230 - CERVEJA EISENBAHN PILSEN UNFILTERED 35 |       0,00 |   4,490 |       0,00 |       0,00 |   8,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 816457 - CERVEJA HEINEKEN 0,0 SEM ALCOOL 330ML  |       0,00 |   5,190 |       0,00 |       6,00 |   7,190 |      43,14 |       12,00 |    38,54 |       15,00 |         77,85 |
| 816533 - CERVEJA HEINEKEN 00 SEM ALCOOL 350ML L |       0,00 |   4,420 |       0,00 |       0,00 |   6,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 951992 - CERVEJA HEINEKEN 473ML                 |     108,00 |   4,934 |     532,92 |      35,00 |   7,990 |     279,65 |      105,50 |    60,58 |       92,00 |        449,88 |
| 82 - CERVEJA HEINEKEN 5L BARRIL                 |       0,00 |  82,490 |       0,00 |       0,00 |  93,900 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 70 - CERVEJA HEINEKEN LONGNECK 330ML            |      24,00 |   5,190 |     124,56 |      26,00 |   8,055 |     209,44 |       74,50 |    55,21 |      118,00 |        612,42 |
| 62 - CERVEJA IMPERIO PILSEN 473ML LATAO         |      48,00 |   3,315 |     159,12 |      25,00 |   5,990 |     149,75 |       65,30 |    77,32 |       36,00 |        118,44 |
| 1050 - CERVEJA ITAIPAVA 473ML LATAO             |       0,00 |   3,090 |       0,00 |      13,00 |   5,000 |      65,00 |       24,83 |    61,81 |       26,00 |         80,34 |
| 813513 - CERVEJA ITAIPAVA PILSEN 550ML          |       0,00 |   3,490 |       0,00 |       0,00 |   5,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 816545 - CERVEJA ROLETA RUSSA EASY IPA PREM 350 |       0,00 |   4,950 |       0,00 |       0,00 |   9,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 71 - CERVEJA SOL PREMIUM 330ML LONG NECK        |       0,00 |   3,490 |       0,00 |       0,00 |   4,500 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 952218 - CERVEJA SPATEN MUNICH PREMIUM 355ML    |       0,00 |   3,450 |       0,00 |       0,00 |   5,990 |       0,00 |        0,00 |     0,00 |        2,00 |          6,90 |
| 333222283 - CERVEJA SPATEN PURO MALTE PREMIUM 3 |       0,00 |   4,250 |       0,00 |       0,00 |   7,250 |       0,00 |        0,00 |     0,00 |       -2,00 |         -8,50 |
| 813699 - CERVEJA STELLA ARTOIS LAGER 330ML      |      24,00 |   4,590 |     110,16 |       4,00 |   7,990 |      31,96 |       13,20 |    70,36 |       33,00 |        151,47 |
| 816685 - COQUETEL TOPO CHICO HARD SELT MOR 310M |       0,00 |   4,630 |       0,00 |       0,00 |   7,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 816722 - COQUETEL TOPO CHICO HARD SELTZ MOR 310 |       0,00 |   4,700 |       0,00 |       0,00 |   7,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 810789 - ESPUMANTE CHANDON BRUT 750ML           |       0,00 |  64,970 |       0,00 |       0,00 |  97,990 |       0,00 |        0,00 |     0,00 |        4,00 |        259,88 |
| 810788 - ESPUMANTE CHANDON ROSE BRUT 750ML      |       0,00 |  59,900 |       0,00 |       0,00 |  89,900 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 816429 - ESPUMANTE MOSCATEL SALTON 750ML        |       0,00 |  26,650 |       0,00 |       0,00 |  47,990 |       0,00 |        0,00 |     0,00 |        1,00 |         26,65 |
| 816428 - ESPUMANTE SALTON BRUT 750ML            |       0,00 |  24,990 |       0,00 |       0,00 |  44,990 |       0,00 |        0,00 |     0,00 |        1,00 |         24,99 |
| 952011 - GIN GORDONS TONICA 269ML               |       0,00 |   1,371 |       0,00 |       0,00 |   2,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 816771 - GIN TANQUERAY LONDON DRY 750ML         |       0,00 |  89,990 |       0,00 |       0,00 | 119,900 |       0,00 |        0,00 |     0,00 |        3,00 |        269,97 |
| 333222232 - PROMO AMPM BRAHMA DUPLO 473ML 3UN   |       0,00 |   0,000 |       0,00 |       0,00 |  14,970 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 333222284 - PROMO AMPM SPATEN 355ML LEVE 3      |       0,00 |   0,000 |       0,00 |       0,00 |  16,470 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 816871 - VINHO ALMADEN SUAVE TINTO CABERNET 750 |       0,00 |  22,390 |       0,00 |       0,00 |  33,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 952175 - VINHO CASAS DEL TOQUI 2018 TIN CAB 750 |       0,00 |  32,990 |       0,00 |       0,00 |  55,000 |       0,00 |        0,00 |     0,00 |        1,00 |         32,99 |
| 816872 - VINHO CAVA NEGRA TINTO MERLOT 750ML    |       0,00 |  42,190 |       0,00 |       0,00 |  69,990 |       0,00 |        0,00 |     0,00 |        2,00 |         84,38 |
| 107046 - VINHO CONCHA Y TORO CARMENERE 750ML    |       0,00 |  35,490 |       0,00 |       0,00 |  56,990 |       0,00 |        0,00 |     0,00 |        2,00 |         70,98 |
| 107045 - VINHO CONCHA Y TORO RESERVA CABERN 750 |       0,00 |  35,490 |       0,00 |       0,00 |  56,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 333222235 - VINHO PERIQUITA TINTO 750ML         |       0,00 |  54,530 |       0,00 |       0,00 |  79,900 |       0,00 |        0,00 |     0,00 |        1,00 |         54,53 |
| 333222230 - VINHO SALTON CLASSIC CABERNET SAUV  |       0,00 |  20,000 |       0,00 |       0,00 |  33,990 |       0,00 |        0,00 |     0,00 |        2,00 |         40,00 |
| 810707 - VINHO SANTA CAROLINA TINTO CARMENE 750 |       0,00 |  20,900 |       0,00 |       0,00 |  49,900 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 810683 - VODKA NAC SKYY 980ML                   |       0,00 |  35,900 |       0,00 |       0,00 |  49,900 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 816868 - VODKA SMIRNOFF TRIPLE DISTILLED 600ML  |       0,00 |  19,900 |       0,00 |       1,00 |  39,990 |      39,99 |       20,09 |   100,95 |        1,00 |         19,90 |
+-------------------------------------------------+------------+---------+------------+------------+---------+------------+-------------+----------+-------------+---------------+
| Total grupo                                     |     324,00 |         |   1.389,60 |     196,00 |         |   1.455,15 |      577,63 |    65,83 |      609,00 |      3.496,27 |
+-------------------------------------------------+------------+---------+------------+------------+---------+------------+-------------+----------+-------------+---------------+
