LOJA DE BEBIDAS                                                                                                                                          16/05/2023 10:55
------------------------------------------------------------------------------------------------------------------------------------------------------------------------

                                                                         ESTOQUE E LUCRO BRUTO
                                                                      Empresa: 1 - LOJA DE BEBIDAS
                                                                    Período: 08/05/2023 a 16/05/2023
                                                                            Modo: ANALÍTICO
                                                                       Lucro base: VALOR DO CUSTO
                                                                        Tipo custo: ÚLTIMO CUSTO
                                                                     Exibir: APENAS PRODUTOS ATIVOS


                                                                           VENDA DE PRODUTOS

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Grupo produto: 2 - BEBIDAS NAO ALCOOLICAS                                                                                                                                      |
+-------------------------------------------------+------------+---------+------------+------------+---------+------------+-------------+----------+-------------+---------------+
|                Produto                          | Qt. compra |   Unit. | Vl. compra |  Qt. venda |   Unit. | Vl. venda. |    Lucro    |  % Lucro | Qt. estoque |  Vl. estoque  |
| 401 - ENERGETICO MONSTER ULTRA  473ML           |       0,00 |   6,490 |       0,00 |       5,00 |  10,900 |      54,50 |       22,05 |    67,95 |        9,00 |         58,41 |
| 951967 - ENERGETICO MONSTER ULTRA PARADISE 473M |       0,00 |   6,490 |       0,00 |       0,00 |  10,990 |       0,00 |        0,00 |     0,00 |        4,00 |         25,96 |
| 1140 - ENERGETICO MOOD BLUEBERRY 269ML          |       0,00 |   3,410 |       0,00 |       6,00 |   6,000 |      36,00 |       15,54 |    75,95 |        7,00 |         23,87 |
| 952145 - ENERGETICO MOOD FRUTAS TROPICAIS 269ML |       0,00 |   3,420 |       0,00 |       2,00 |   6,000 |      12,00 |        5,16 |    75,44 |        6,00 |         20,52 |
| 952146 - ENERGETICO MOOD MELANCIA 269ML         |       0,00 |   3,990 |       0,00 |       0,00 |   6,000 |       0,00 |        0,00 |     0,00 |        9,00 |         35,91 |
| 403 - ENERGETICO MOOD SEM AÇUCAR 269ML          |       0,00 |   3,420 |       0,00 |       0,00 |   6,000 |       0,00 |        0,00 |     0,00 |       11,00 |         37,62 |
| 460 - ENERGETICO RED BULL 250ML ORIGINAL        |      12,00 |   6,990 |      83,88 |       0,00 |   8,690 |       0,00 |        0,00 |     0,00 |       14,00 |         97,86 |
| 19 - ENERGETICO RED BULL ACAI 250ML ROXO        |       0,00 |   6,990 |       0,00 |       0,00 |   8,990 |       0,00 |        0,00 |     0,00 |        4,00 |         27,96 |
| 17 - ENERGETICO RED BULL AMARELO 250ML          |       0,00 |   6,990 |       0,00 |       0,00 |   8,690 |       0,00 |        0,00 |     0,00 |        4,00 |         27,96 |
| 813449 - ENERGETICO RED BULL BRANCO 250ML       |       0,00 |   6,990 |       0,00 |       1,00 |   8,690 |       8,69 |        1,70 |    24,32 |        7,00 |         48,93 |
| 461 - ENERGETICO RED BULL DIET 250ML            |       0,00 |   6,990 |       0,00 |       0,00 |   8,690 |       0,00 |        0,00 |     0,00 |        9,00 |         62,91 |
| 1104 - ENERGETICO RED BULL LATA 355ML           |       0,00 |   9,890 |       0,00 |       0,00 |  16,900 |       0,00 |        0,00 |     0,00 |        4,00 |         39,56 |
| 402 - ENERGETICO RED BULL LATAO 473ML           |       0,00 |  11,190 |       0,00 |       1,00 |  19,990 |      19,99 |        8,80 |    78,64 |        3,00 |         33,57 |
| 816372 - ENERGETICO RED BULL MELANCIA 250ML     |       0,00 |   6,990 |       0,00 |       0,00 |   8,690 |       0,00 |        0,00 |     0,00 |        4,00 |         27,96 |
| 816638 - ENERGETICO RED BULL SUGAR FREE 355ML   |       4,00 |   9,890 |      39,56 |       3,00 |  17,250 |      51,75 |       22,08 |    74,42 |        3,00 |         29,67 |
| 951985 - ENERGETICO RED BULL SUMMER PITAYA 250M |       0,00 |   6,990 |       0,00 |       0,00 |   8,690 |       0,00 |        0,00 |     0,00 |        4,00 |         27,96 |
| 18 - ENERTICO MOOD ORIGINAL 269ML               |       0,00 |   3,410 |       0,00 |       1,00 |   6,000 |       6,00 |        2,59 |    75,95 |        6,00 |         20,46 |
| 1012 - FANTA UVA LATA 350ML                     |       0,00 |   2,590 |       0,00 |       3,00 |   4,990 |      14,97 |        7,20 |    92,66 |       10,00 |         25,90 |
| 556 - GUARANA ANTARCTICA 2L                     |      12,00 |   6,140 |      73,68 |       6,00 |  10,990 |      65,94 |       30,00 |    83,47 |       11,00 |         69,19 |
| 2072 - GUARANA ANTARCTICA 350ML                 |      24,00 |   2,210 |      53,04 |       2,00 |   4,990 |       9,98 |        5,78 |   137,62 |       31,00 |         68,51 |
| 562 - GUARANA ANTARCTICA 600ML                  |      12,00 |   3,060 |      36,72 |       4,00 |   5,990 |      23,96 |       12,17 |   103,22 |       20,00 |         61,20 |
| 522 - GUARANA ANTARCTICA ZERO 350ML             |       0,00 |   2,000 |       0,00 |       2,00 |   4,990 |       9,98 |        5,98 |   149,50 |       10,00 |         20,00 |
| 952066 - GUARAVITA ACAI 290ML                   |       0,00 |   0,859 |       0,00 |       0,00 |   2,000 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 1051 - GUARAVITA GUARANA NATURAL 290ML          |       0,00 |   0,890 |       0,00 |      94,00 |   2,000 |     188,00 |      104,34 |   124,72 |      175,00 |        155,75 |
| 2091 - H2OH LIMAO  500ML                        |      12,00 |   2,910 |      34,92 |       5,00 |   5,500 |      27,50 |       12,95 |    89,00 |        8,00 |         23,28 |
| 2092 - H2OH LIMONETO LIMA 500ML                 |      12,00 |   3,060 |      36,72 |      11,00 |   5,500 |      60,50 |       28,34 |    88,12 |       14,00 |         42,84 |
| 510 - ISOTONICO GATORADE FRUTAS CITRICA 500ML   |       0,00 |   3,310 |       0,00 |       0,00 |   6,990 |       0,00 |        0,00 |     0,00 |       11,00 |         36,41 |
| 1145 - ISOTONICO GATORADE LARANJA 500ML         |       0,00 |   3,310 |       0,00 |       5,00 |   6,990 |      34,95 |       18,40 |   111,18 |        0,00 |          0,00 |
| 503 - ISOTONICO GATORADE LIMAO  500ML           |       6,00 |   3,480 |      20,88 |       4,00 |   6,990 |      27,96 |       14,72 |   111,18 |        8,00 |         27,84 |
| 1016 - ISOTONICO GATORADE MARACUJA 500ML        |       0,00 |   3,310 |       0,00 |       0,00 |   6,990 |       0,00 |        0,00 |     0,00 |        4,00 |         13,24 |
